season_year,north_cao_days,south_cao_days,upwind_cao_days,downwind_cao_days,north_n_events,south_n_events,upwind_n_events,downwind_n_events
1940,60,60,60,60,1,1,1,1
1941,90,90,90,90,1,1,1,1
1942,90,90,90,90,1,1,1,1
1943,90,90,90,90,1,1,1,1
1944,91,91,91,91,1,1,1,1
1945,90,90,90,90,1,1,1,1
1946,90,90,90,90,1,1,1,1
1947,90,90,90,90,1,1,1,1
1948,91,91,91,91,1,1,1,1
1949,90,90,90,90,1,1,1,1
1950,90,90,90,90,1,1,1,1
1951,90,90,90,90,1,1,1,1
1952,91,91,91,91,1,1,1,1
1953,90,90,90,90,1,1,1,1
1954,90,90,90,90,1,1,1,1
1955,90,90,90,90,1,1,1,1
1956,91,91,91,91,1,1,1,1
1957,90,90,90,90,1,1,1,1
1958,90,90,90,90,1,1,1,1
1959,90,90,90,90,1,1,1,1
1960,91,91,91,91,1,1,1,1
1961,90,90,90,90,1,1,1,1
1962,90,90,90,90,1,1,1,1
1963,90,90,90,90,1,1,1,1
1964,91,91,91,91,1,1,1,1
1965,90,90,90,90,1,1,1,1
1966,90,90,90,90,1,1,1,1
1967,90,90,90,90,1,1,1,1
1968,91,91,91,91,1,1,1,1
1969,90,90,90,90,1,1,1,1
1970,90,90,90,90,1,1,1,1
1971,90,90,90,90,1,1,1,1
1972,91,91,91,91,1,1,1,1
1973,90,90,90,90,1,1,1,1
1974,90,90,90,90,1,1,1,1
1975,90,90,90,90,1,1,1,1
1976,91,91,91,91,1,1,1,1
1977,90,90,90,90,1,1,1,1
1978,90,90,90,90,1,1,1,1
1979,90,90,90,90,1,1,1,1
1980,91,91,91,91,1,1,1,1
1981,90,90,90,90,1,1,1,1
1982,90,90,90,90,1,1,1,1
1983,90,90,90,90,1,1,1,1
1984,91,91,91,91,1,1,1,1
1985,90,90,90,90,1,1,1,1
1986,90,90,90,90,1,1,1,1
1987,90,90,90,90,1,1,1,1
1988,91,91,91,91,1,1,1,1
1989,90,90,90,90,1,1,1,1
1990,90,90,90,90,1,1,1,1
1991,90,90,90,90,1,1,1,1
1992,91,91,91,91,1,1,1,1
1993,90,90,90,90,1,1,1,1
1994,90,90,90,90,1,1,1,1
1995,90,90,90,90,1,1,1,1
1996,91,91,91,91,1,1,1,1
1997,90,90,90,90,1,1,1,1
1998,90,90,90,90,1,1,1,1
1999,90,90,90,90,1,1,1,1
2000,91,91,91,91,1,1,1,1
2001,90,90,90,90,1,1,1,1
2002,90,90,90,90,1,1,1,1
2003,90,90,90,90,1,1,1,1
2004,91,91,91,91,1,1,1,1
2005,90,90,90,90,1,1,1,1
2006,90,90,90,90,1,1,1,1
2007,90,90,90,90,1,1,1,1
2008,91,91,91,91,1,1,1,1
2009,90,90,90,90,1,1,1,1
2010,90,90,90,90,1,1,1,1
2011,90,90,90,90,1,1,1,1
2012,91,91,91,91,1,1,1,1
2013,90,90,90,90,1,1,1,1
2014,90,90,90,90,1,1,1,1
2015,90,90,90,90,1,1,1,1
2016,91,91,91,91,1,1,1,1
2017,90,90,90,90,1,1,1,1
2018,90,90,90,90,1,1,1,1
2019,90,90,90,90,1,1,1,1
2020,91,91,91,91,1,1,1,1
2021,90,90,90,90,1,1,1,1
2022,90,90,90,90,1,1,1,1
2023,90,90,90,90,1,1,1,1
2024,91,91,91,91,1,1,1,1
2025,90,90,90,90,1,1,1,1
